Month,Price
2004-01,65
2004-02,37
2004-03,25
2004-04,69
2004-05,66
2004-06,74
2004-07,68
2004-08,64
2004-09,82
2004-10,63
2004-11,62
2004-12,52
2005-01,35
2005-02,80
2005-03,99
2005-04,78
2005-05,93
2005-06,96
2005-07,100
2005-08,69
2005-09,87
2005-10,88
2005-11,75
2005-12,56
2006-01,57
2006-02,55
2006-03,68
2006-04,68
2006-05,82
2006-06,100
2006-07,54
2006-08,60
2006-09,65
2006-10,73
2006-11,58
2006-12,42
2007-01,49
2007-02,48
2007-03,55
2007-04,57
2007-05,49
2007-06,55
2007-07,58
2007-08,60
2007-09,55
2007-10,55
2007-11,61
2007-12,61
2008-01,69
2008-02,71
2008-03,78
2008-04,74
2008-05,66
2008-06,58
2008-07,59
2008-08,57
2008-09,61
2008-10,61
2008-11,52
2008-12,59
2009-01,53
2009-02,58
2009-03,57
2009-04,54
2009-05,50
2009-06,37
2009-07,41
2009-08,41
2009-09,42
2009-10,40
2009-11,35
2009-12,32
2010-01,40
2010-02,43
2010-03,43
2010-04,45
2010-05,37
2010-06,40
2010-07,25
2010-08,36
2010-09,29
2010-10,33
2010-11,31
2010-12,30
2011-01,34
2011-02,31
2011-03,31
2011-04,40
2011-05,38
2011-06,41
2011-07,34
2011-08,37
2011-09,31
2011-10,31
2011-11,28
2011-12,24
2012-01,31
2012-02,34
2012-03,33
2012-04,35
2012-05,30
2012-06,28
2012-07,26
2012-08,25
2012-09,33
2012-10,28
2012-11,26
2012-12,27
2013-01,30
2013-02,29
2013-03,36
2013-04,36
2013-05,35
2013-06,31
2013-07,33
2013-08,27
2013-09,30
2013-10,35
2013-11,31
2013-12,28
2014-01,36
2014-02,38
2014-03,36
2014-04,33
2014-05,30
2014-06,30
2014-07,33
2014-08,32
2014-09,35
2014-10,31
2014-11,35
2014-12,32
2015-01,34
2015-02,37
2015-03,35
2015-04,36
2015-05,34
2015-06,29
2015-07,34
2015-08,32
2015-09,36
2015-10,35
2015-11,31
2015-12,29
2016-01,38
2016-02,39
2016-03,41
2016-04,45
2016-05,38
2016-06,35
2016-07,33
2016-08,35
2016-09,35
2016-10,37
2016-11,37
2016-12,36
2017-01,41
2017-02,46
2017-03,49
2017-04,49
2017-05,44
2017-06,39
2017-07,41
2017-08,38
2017-09,40
2017-10,44
2017-11,43
2017-12,39
2018-01,39
2018-02,51
2018-03,46
2018-04,53
2018-05,45
2018-06,45
2018-07,41
2018-08,44
2018-09,42
2018-10,50
2018-11,45
2018-12,39
2019-01,40
2019-02,43
2019-03,51
2019-04,51
2019-05,44
2019-06,41
2019-07,39
2019-08,35
2019-09,38
2019-10,44
2019-11,38
2019-12,32
2020-01,37
2020-02,45
2020-03,52
2020-04,46
2020-05,42
2020-06,43
2020-07,41
2020-08,37
2020-09,41
2020-10,40
2020-11,35
2020-12,37
2021-01,37
2021-02,52
2021-03,49
2021-04,58
2021-05,55
2021-06,51
2021-07,49
2021-08,45
2021-09,50
2021-10,46
2021-11,47
2021-12,46
2022-01,67
2022-02,84
2022-03,80
2022-04,87
2022-05,83
2022-06,81
2022-07,69
2022-08,59
2022-09,78
2022-10,70
2022-11,63
2022-12,54
2023-01,65
2023-02,70
2023-03,73
2023-04,64
2023-05,69
