Month,Energy
2004-01,37
2004-02,39
2004-03,42
2004-04,47
2004-05,40
2004-06,35
2004-07,32
2004-08,31
2004-09,40
2004-10,49
2004-11,46
2004-12,35
2005-01,36
2005-02,38
2005-03,42
2005-04,45
2005-05,39
2005-06,35
2005-07,30
2005-08,36
2005-09,46
2005-10,44
2005-11,46
2005-12,39
2006-01,45
2006-02,53
2006-03,52
2006-04,67
2006-05,54
2006-06,40
2006-07,36
2006-08,39
2006-09,44
2006-10,44
2006-11,47
2006-12,42
2007-01,55
2007-02,56
2007-03,55
2007-04,58
2007-05,62
2007-06,45
2007-07,45
2007-08,42
2007-09,49
2007-10,61
2007-11,64
2007-12,57
2008-01,58
2008-02,61
2008-03,66
2008-04,74
2008-05,79
2008-06,67
2008-07,68
2008-08,62
2008-09,79
2008-10,100
2008-11,84
2008-12,68
2009-01,71
2009-02,88
2009-03,86
2009-04,86
2009-05,75
2009-06,68
2009-07,53
2009-08,51
2009-09,68
2009-10,71
2009-11,70
2009-12,55
2010-01,64
2010-02,68
2010-03,72
2010-04,70
2010-05,69
2010-06,55
2010-07,44
2010-08,43
2010-09,52
2010-10,52
2010-11,56
2010-12,46
2011-01,47
2011-02,56
2011-03,52
2011-04,58
2011-05,51
2011-06,40
2011-07,30
2011-08,33
2011-09,41
2011-10,43
2011-11,44
2011-12,34
2012-01,41
2012-02,43
2012-03,41
2012-04,45
2012-05,44
2012-06,29
2012-07,25
2012-08,29
2012-09,36
2012-10,42
2012-11,41
2012-12,34
2013-01,36
2013-02,39
2013-03,37
2013-04,42
2013-05,38
2013-06,24
2013-07,22
2013-08,23
2013-09,32
2013-10,36
2013-11,40
2013-12,33
2014-01,35
2014-02,38
2014-03,38
2014-04,42
2014-05,40
2014-06,27
2014-07,22
2014-08,22
2014-09,34
2014-10,39
2014-11,38
2014-12,35
2015-01,37
2015-02,39
2015-03,38
2015-04,45
2015-05,41
2015-06,27
2015-07,22
2015-08,25
2015-09,34
2015-10,38
2015-11,41
2015-12,40
2016-01,35
2016-02,38
2016-03,40
2016-04,45
2016-05,42
2016-06,25
2016-07,20
2016-08,23
2016-09,33
2016-10,36
2016-11,44
2016-12,36
2017-01,41
2017-02,41
2017-03,47
2017-04,49
2017-05,48
2017-06,31
2017-07,22
2017-08,23
2017-09,31
2017-10,41
2017-11,41
2017-12,35
2018-01,36
2018-02,40
2018-03,40
2018-04,46
2018-05,47
2018-06,22
2018-07,19
2018-08,23
2018-09,31
2018-10,40
2018-11,35
2018-12,32
2019-01,39
2019-02,42
2019-03,47
2019-04,53
2019-05,48
2019-06,27
2019-07,23
2019-08,24
2019-09,33
2019-10,43
2019-11,39
2019-12,35
2020-01,41
2020-02,46
2020-03,39
2020-04,51
2020-05,46
2020-06,26
2020-07,24
2020-08,30
2020-09,46
2020-10,47
2020-11,43
2020-12,42
2021-01,58
2021-02,67
2021-03,47
2021-04,47
2021-05,45
2021-06,31
2021-07,27
2021-08,28
2021-09,32
2021-10,36
2021-11,37
2021-12,29
2022-01,34
2022-02,44
2022-03,55
2022-04,71
2022-05,63
2022-06,36
2022-07,29
2022-08,39
2022-09,46
2022-10,47
2022-11,47
2022-12,45
2023-01,49
2023-02,54
2023-03,58
2023-04,60
2023-05,66
